Country_Code,Year,Crime_Count,Crime_Type
MAR,2000,461.0,Homicide
MAR,2001,543.0,Homicide
MAR,2002,462.0,Homicide
MAR,2003,510.0,Homicide
MAR,2004,470.0,Homicide
MAR,2005,469.0,Homicide
MAR,2006,498.0,Homicide
MAR,2007,517.0,Homicide
MAR,2008,426.0,Homicide
MAR,2009,432.0,Homicide
MAR,2010,451.0,Homicide
MAR,2011,441.0,Homicide
MAR,2012,383.0,Homicide
MAR,2013,429.0,Homicide
MAR,2014,355.0,Homicide
MAR,2015,431.0,Homicide
MAR,2016,594.0,Homicide
MAR,2017,761.0,Homicide
MAR,2018,510.0,Homicide
MAR,2019,1004.0,Homicide
MAR,2020,1073.0,Homicide
MAR,2021,716.0,Homicide
MAR,2022,618.0,Homicide
MAR,2023,643.0,Homicide
MAR,2024,635.0,Homicide
MOZ,2001,1100.0,Homicide
MOZ,2002,1040.0,Homicide
MOZ,2003,1044.0,Homicide
MOZ,2004,1130.0,Homicide
MOZ,2005,1089.0,Homicide
MOZ,2006,894.0,Homicide
MOZ,2007,849.0,Homicide
MOZ,2008,995.0,Homicide
MOZ,2009,823.0,Homicide
MOZ,2010,875.0,Homicide
MOZ,2011,849.0,Homicide
MMR,1990,2046.0,Homicide
MMR,1995,1613.0,Homicide
MMR,2000,1041.0,Homicide
MMR,2001,916.0,Homicide
MMR,2002,814.0,Homicide
MMR,2003,764.0,Homicide
MMR,2004,743.0,Homicide
MMR,2005,676.0,Homicide
MMR,2006,777.0,Homicide
MMR,2007,749.0,Homicide
MMR,2008,791.0,Homicide
MMR,2009,879.0,Homicide
MMR,2010,801.0,Homicide
MMR,2011,1055.0,Homicide
MMR,2012,1436.0,Homicide
MMR,2013,1238.0,Homicide
MMR,2014,1230.0,Homicide
MMR,2015,1302.0,Homicide
MMR,2016,1339.0,Homicide
MMR,2017,1392.0,Homicide
MMR,2018,1452.0,Homicide
MMR,2019,1519.0,Homicide
MMR,2020,1571.0,Homicide
MMR,2021,15299.0,Homicide
MMR,2022,2098.0,Homicide
MMR,2023,1394.0,Homicide
NAM,1995,373.0,Homicide
NAM,1996,353.0,Homicide
NAM,1997,327.0,Homicide
NAM,1998,407.0,Homicide
NAM,1999,379.0,Homicide
NAM,2000,380.0,Homicide
NAM,2001,353.0,Homicide
NAM,2002,346.0,Homicide
NAM,2004,352.0,Homicide
NAM,2008,354.0,Homicide
NAM,2009,388.0,Homicide
NAM,2010,314.0,Homicide
NAM,2011,308.0,Homicide
NAM,2012,388.0,Homicide
NAM,2018,476.0,Homicide
NAM,2019,319.0,Homicide
NAM,2020,303.0,Homicide
NAM,2021,315.0,Homicide
NPL,1990,354.0,Homicide
NPL,1997,575.0,Homicide
NPL,1998,650.0,Homicide
NPL,1999,630.0,Homicide
NPL,2000,635.0,Homicide
NPL,2001,848.0,Homicide
NPL,2002,858.0,Homicide
NPL,2003,757.0,Homicide
NPL,2004,936.0,Homicide
NPL,2005,878.0,Homicide
NPL,2006,610.0,Homicide
NPL,2007,841.0,Homicide
NPL,2008,892.0,Homicide
NPL,2009,806.0,Homicide
NPL,2010,813.0,Homicide
NPL,2011,679.0,Homicide
NPL,2012,642.0,Homicide
NPL,2013,606.0,Homicide
NPL,2014,558.0,Homicide
NPL,2015,598.0,Homicide
NPL,2016,617.0,Homicide
NPL,2017,630.0,Homicide
NPL,2018,659.0,Homicide
NPL,2019,555.0,Homicide
NPL,2020,617.0,Homicide
NLD,1990,135.0,Homicide
NLD,1991,177.0,Homicide
NLD,1992,193.0,Homicide
NLD,1993,192.0,Homicide
NLD,1994,171.0,Homicide
NLD,1995,193.0,Homicide
NLD,1996,211.0,Homicide
NLD,1997,208.0,Homicide
NLD,1998,176.0,Homicide
NLD,1999,203.0,Homicide
NLD,2000,180.0,Homicide
NLD,2001,202.0,Homicide
NLD,2002,195.0,Homicide
NLD,2003,202.0,Homicide
NLD,2004,191.0,Homicide
NLD,2005,174.0,Homicide
NLD,2006,128.0,Homicide
NLD,2007,143.0,Homicide
NLD,2008,150.0,Homicide
NLD,2009,154.0,Homicide
NLD,2010,144.0,Homicide
NLD,2011,143.0,Homicide
NLD,2012,145.0,Homicide
NLD,2013,125.0,Homicide
NLD,2014,123.0,Homicide
NLD,2015,104.0,Homicide
NLD,2016,94.0,Homicide
NLD,2017,132.0,Homicide
NLD,2018,100.0,Homicide
NLD,2019,125.0,Homicide
NLD,2020,121.0,Homicide
NLD,2021,126.0,Homicide
NLD,2022,143.0,Homicide
NLD,2023,125.0,Homicide
NZL,1990,63.348064,Homicide
NZL,1991,53.60221,Homicide
NZL,1992,66.59669,Homicide
NZL,1993,41.41989,Homicide
NZL,1994,56.85083,Homicide
NZL,1995,39.0,Homicide
NZL,1996,48.0,Homicide
NZL,1997,60.0,Homicide
NZL,1998,49.0,Homicide
NZL,1999,45.0,Homicide
NZL,2000,52.0,Homicide
NZL,2001,51.0,Homicide
NZL,2002,60.0,Homicide
NZL,2003,44.0,Homicide
NZL,2004,45.0,Homicide
NZL,2005,61.0,Homicide
NZL,2006,49.0,Homicide
NZL,2007,48.0,Homicide
NZL,2008,51.0,Homicide
NZL,2009,67.0,Homicide
NZL,2010,43.0,Homicide
NZL,2011,39.0,Homicide
NZL,2012,41.0,Homicide
NZL,2013,46.0,Homicide
NZL,2014,43.0,Homicide
NZL,2015,48.0,Homicide
NZL,2016,50.0,Homicide
NZL,2017,35.0,Homicide
NZL,2018,55.0,Homicide
NZL,2019,114.0,Homicide
NZL,2020,52.0,Homicide
NZL,2021,59.0,Homicide
NZL,2022,75.0,Homicide
NIC,1990,672.0,Homicide
NIC,1991,732.0,Homicide
NIC,1992,826.0,Homicide
NIC,1993,762.0,Homicide
NIC,1994,725.0,Homicide
NIC,1995,707.0,Homicide
NIC,1996,662.0,Homicide
NIC,1997,679.0,Homicide
NIC,1998,639.0,Homicide
NIC,1999,561.0,Homicide
NIC,2000,476.0,Homicide
NIC,2001,537.0,Homicide
NIC,2002,554.0,Homicide
NIC,2003,635.0,Homicide
NIC,2004,646.0,Homicide
NIC,2005,729.0,Homicide
NIC,2006,722.0,Homicide
NIC,2007,714.0,Homicide
NIC,2008,736.0,Homicide
NIC,2009,802.0,Homicide
NIC,2010,785.0,Homicide
NIC,2011,738.0,Homicide
NIC,2012,673.0,Homicide
NIC,2013,594.0,Homicide
NIC,2014,525.0,Homicide
NIC,2015,524.0,Homicide
NIC,2016,453.0,Homicide
NIC,2017,431.0,Homicide
NIC,2018,682.0,Homicide
NIC,2019,515.0,Homicide
NIC,2021,754.0,Homicide
NER,2011,831.0,Homicide
NER,2012,788.0,Homicide
NGA,2016,63400.0,Homicide
NGA,2019,44200.0,Homicide
NGA,2023,35884.0,Homicide
MKD,1998,48.0,Homicide
MKD,1999,38.0,Homicide
MKD,2000,47.0,Homicide
MKD,2001,55.0,Homicide
MKD,2002,60.0,Homicide
MKD,2003,70.0,Homicide
MKD,2004,49.0,Homicide
MKD,2006,46.0,Homicide
MKD,2007,42.0,Homicide
MKD,2008,35.0,Homicide
MKD,2009,35.0,Homicide
MKD,2010,43.0,Homicide
MKD,2011,30.0,Homicide
MKD,2012,29.0,Homicide
MKD,2013,22.0,Homicide
MKD,2014,35.0,Homicide
MKD,2015,25.0,Homicide
MKD,2016,19.0,Homicide
MKD,2017,31.0,Homicide
MKD,2018,25.0,Homicide
MKD,2019,23.0,Homicide
MKD,2020,11.0,Homicide
MKD,2021,14.0,Homicide
MKD,2022,18.0,Homicide
MKD,2023,28.0,Homicide
NOR,1990,47.0,Homicide
NOR,1991,50.0,Homicide
NOR,1992,46.0,Homicide
NOR,1993,38.0,Homicide
NOR,1994,33.0,Homicide
NOR,1995,42.0,Homicide
NOR,1996,43.0,Homicide
NOR,1997,38.0,Homicide
NOR,1998,38.0,Homicide
NOR,1999,33.0,Homicide
NOR,2000,48.0,Homicide
NOR,2001,37.0,Homicide
NOR,2002,46.0,Homicide
NOR,2004,36.0,Homicide
NOR,2005,33.0,Homicide
NOR,2006,33.0,Homicide
NOR,2007,30.0,Homicide
NOR,2008,34.0,Homicide
NOR,2009,29.0,Homicide
NOR,2010,29.0,Homicide
NOR,2011,111.0,Homicide
NOR,2012,27.0,Homicide
NOR,2013,46.0,Homicide
NOR,2014,29.0,Homicide
